Fecha,ID_Insumo,Stock_Actual,Consumo_Diario,Lead_Time,Ocupacion_Albergue,Pacientes_Alto_Riesgo,Ocupacion_Total
2024-01-01,alimentos,592,21.62,14,0.68,0,1
2024-01-02,alimentos,575,14.9,14,0.0,0,1
2024-01-03,alimentos,540,23.85,14,0.0,0,1
2024-01-04,alimentos,516,25.2,14,1.69,1,1
2024-01-05,alimentos,495,10.34,14,0.0,0,1
2024-01-06,alimentos,477,13.59,14,2.98,0,1
2024-01-07,alimentos,458,20.74,14,0.0,0,1
2024-01-08,alimentos,435,18.52,14,2.4,0,1
2024-01-09,alimentos,410,20.02,14,0.0,0,1
2024-01-10,alimentos,385,15.83,14,1.27,0,1
2024-01-11,alimentos,362,24.5,14,0.0,0,1
2024-01-12,alimentos,803,23.99,14,0.0,0,1
2024-01-13,alimentos,778,20.83,14,0.48,1,1
2024-01-14,alimentos,752,25.74,14,0.0,0,1
2024-01-15,alimentos,733,22.44,14,2.14,0,1
2024-01-16,alimentos,714,15.8,14,0.0,0,1
2024-01-17,alimentos,688,21.94,14,0.79,0,1
2024-01-18,alimentos,666,15.31,14,0.49,0,1
2024-01-19,alimentos,638,24.49,14,1.73,0,1
2024-01-20,alimentos,621,19.85,14,0.0,0,1
2024-01-21,alimentos,596,19.18,14,2.84,0,1
2024-01-22,alimentos,568,17.1,14,4.69,1,1
2024-01-23,alimentos,548,26.21,14,0.0,0,1
2024-01-24,alimentos,524,19.33,14,3.79,0,1
2024-01-25,alimentos,504,17.96,14,0.0,0,1
2024-01-26,alimentos,484,18.34,14,0.0,0,1
2024-01-27,alimentos,456,22.76,14,2.29,0,1
2024-01-28,alimentos,427,22.33,14,0.0,1,1
2024-01-29,alimentos,398,22.16,14,1.8,0,1
2024-01-30,alimentos,375,22.25,14,1.7,0,1
2024-01-31,alimentos,754,30.81,14,0.46,0,1
2024-02-01,alimentos,720,18.07,14,0.38,0,1
2024-02-02,alimentos,696,17.94,14,0.0,1,1
2024-02-03,alimentos,674,16.03,14,2.05,0,1
2024-02-04,alimentos,642,23.18,14,0.0,0,1
2024-02-05,alimentos,617,25.74,14,2.83,0,1
2024-02-06,alimentos,593,19.53,14,2.89,0,1
2024-02-07,alimentos,558,15.9,14,0.0,0,1
2024-02-08,alimentos,536,15.98,14,0.0,0,1
2024-02-09,alimentos,508,23.35,14,0.23,0,1
2024-02-10,alimentos,487,23.82,14,0.0,0,1
2024-02-11,alimentos,466,22.82,14,0.0,0,1
2024-02-12,alimentos,437,16.77,14,0.0,0,1
2024-02-13,alimentos,400,21.26,14,4.45,0,1
2024-02-14,alimentos,377,20.68,14,2.89,0,1
2024-02-15,alimentos,699,21.19,14,0.0,0,1
2024-02-16,alimentos,676,24.46,14,0.0,0,1
2024-02-17,alimentos,656,21.22,14,0.0,0,1
2024-02-18,alimentos,628,23.49,14,0.0,0,1
2024-02-19,alimentos,604,20.44,14,2.02,0,1
2024-02-20,alimentos,573,21.55,14,0.72,0,1
2024-02-21,alimentos,545,23.26,14,0.0,0,1
2024-02-22,alimentos,518,12.81,14,0.43,0,1
2024-02-23,alimentos,486,18.5,14,0.0,0,1
2024-02-24,alimentos,455,17.75,14,0.13,0,1
2024-02-25,alimentos,423,16.91,14,3.86,0,1
2024-02-26,alimentos,389,18.72,14,0.0,0,1
2024-02-27,alimentos,358,27.57,14,0.8,0,1
2024-02-28,alimentos,575,15.77,14,0.0,0,1
2024-02-29,alimentos,544,24.94,14,0.0,0,1
2024-03-01,alimentos,511,11.69,14,2.26,0,1
2024-03-02,alimentos,483,18.43,14,0.0,0,1
2024-03-03,alimentos,454,20.91,14,0.23,0,1
2024-03-04,alimentos,422,23.03,14,0.0,0,1
2024-03-05,alimentos,388,23.66,14,3.35,0,1
2024-03-06,alimentos,357,24.07,14,0.0,0,1
2024-03-07,alimentos,538,18.36,14,0.0,0,1
2024-03-08,alimentos,502,17.79,14,0.28,0,1
2024-03-09,alimentos,476,24.39,14,0.28,0,1
2024-03-10,alimentos,451,19.14,14,2.79,0,1
2024-03-11,alimentos,427,13.72,14,0.0,0,1
2024-03-12,alimentos,400,14.43,14,1.44,0,1
2024-03-13,alimentos,369,15.5,14,0.0,0,1
2024-03-14,alimentos,548,22.59,14,2.77,0,1
2024-03-15,alimentos,519,20.81,14,2.36,0,1
2024-03-16,alimentos,490,23.55,14,1.71,0,1
2024-03-17,alimentos,465,17.96,14,2.27,0,1
2024-03-18,alimentos,438,20.89,14,1.12,0,1
2024-03-19,alimentos,415,23.23,14,0.83,0,1
2024-03-20,alimentos,390,18.55,14,0.0,0,1
2024-03-21,alimentos,364,22.38,14,0.0,0,1
2024-03-22,alimentos,584,16.79,14,2.29,0,1
2024-03-23,alimentos,557,18.28,14,2.21,0,1
2024-03-24,alimentos,519,18.19,14,2.38,0,1
2024-03-25,alimentos,490,14.12,14,0.0,0,1
2024-03-26,alimentos,462,22.53,14,3.95,0,1
2024-03-27,alimentos,429,17.75,14,0.26,0,1
2024-03-28,alimentos,389,20.16,14,1.52,0,1
2024-03-29,alimentos,357,22.5,14,6.15,0,1
2024-03-30,alimentos,793,22.33,14,0.0,0,1
2024-03-31,alimentos,767,23.43,14,2.04,0,1
2024-04-01,alimentos,735,19.61,14,0.0,0,1
2024-04-02,alimentos,702,17.98,14,0.0,0,1
2024-04-03,alimentos,674,19.7,14,1.79,0,1
2024-04-04,alimentos,637,11.66,14,0.0,0,1
2024-04-05,alimentos,604,12.86,14,0.68,0,1
2024-04-06,alimentos,571,13.49,14,1.05,0,1
2024-04-07,alimentos,540,15.11,14,0.92,0,1
