Fecha,ID_Insumo,Stock_Actual,Consumo_Diario,Lead_Time,Ocupacion_Albergue,Pacientes_Alto_Riesgo,Ocupacion_Total,Punto_Reorden,Ratio_Stock,Necesita_Reabastecimiento
2024-01-01,alimentos,592,21.62,14,0.68,0,1,302.68,1.9558609752874323,2
2024-01-02,alimentos,575,14.9,14,0.0,0,1,208.6,2.7564717162032597,1
2024-01-03,alimentos,540,23.85,14,0.0,0,1,333.90000000000003,1.6172506738544472,2
2024-01-04,alimentos,516,25.2,14,1.69,1,1,352.8,1.4625850340136053,2
2024-01-05,alimentos,495,10.34,14,0.0,0,1,144.76,3.419452887537994,1
2024-01-06,alimentos,477,13.59,14,2.98,0,1,190.26,2.5070955534531696,1
2024-01-07,alimentos,458,20.74,14,0.0,0,1,290.35999999999996,1.5773522523763606,2
2024-01-08,alimentos,435,18.52,14,2.4,0,1,259.28,1.6777229250231411,2
2024-01-09,alimentos,410,20.02,14,0.0,0,1,280.28,1.4628228913943202,2
2024-01-10,alimentos,385,15.83,14,1.27,0,1,221.62,1.737207833228048,2
2024-01-11,alimentos,362,24.5,14,0.0,0,1,343.0,1.055393586005831,2
2024-01-12,alimentos,803,23.99,14,0.0,0,1,335.85999999999996,2.3908771511939504,1
2024-01-13,alimentos,778,20.83,14,0.48,1,1,291.62,2.667855428297099,1
2024-01-14,alimentos,752,25.74,14,0.0,0,1,360.35999999999996,2.086802086802087,2
2024-01-15,alimentos,733,22.44,14,2.14,0,1,314.16,2.333206009676598,1
2024-01-16,alimentos,714,15.8,14,0.0,0,1,221.20000000000002,3.2278481012658227,1
2024-01-17,alimentos,688,21.94,14,0.79,0,1,307.16,2.2398749837218386,1
2024-01-18,alimentos,666,15.31,14,0.49,0,1,214.34,3.1072128394140153,1
2024-01-19,alimentos,638,24.49,14,1.73,0,1,342.85999999999996,1.8608178265181126,2
2024-01-20,alimentos,621,19.85,14,0.0,0,1,277.90000000000003,2.234616768621806,1
2024-01-21,alimentos,596,19.18,14,2.84,0,1,268.52,2.21957396097125,1
2024-01-22,alimentos,568,17.1,14,4.69,1,1,239.40000000000003,2.372598162071846,1
2024-01-23,alimentos,548,26.21,14,0.0,0,1,366.94,1.493432168746934,2
2024-01-24,alimentos,524,19.33,14,3.79,0,1,270.62,1.9362944350011084,2
2024-01-25,alimentos,504,17.96,14,0.0,0,1,251.44,2.0044543429844097,2
2024-01-26,alimentos,484,18.34,14,0.0,0,1,256.76,1.8850288206885808,2
2024-01-27,alimentos,456,22.76,14,2.29,0,1,318.64000000000004,1.4310820989204116,2
2024-01-28,alimentos,427,22.33,14,0.0,1,1,312.62,1.3658755038065382,2
2024-01-29,alimentos,398,22.16,14,1.8,0,1,310.24,1.2828777720474471,2
2024-01-30,alimentos,375,22.25,14,1.7,0,1,311.5,1.203852327447833,2
2024-01-31,alimentos,754,30.81,14,0.46,0,1,431.34,1.7480409885473178,2
2024-02-01,alimentos,720,18.07,14,0.38,0,1,252.98000000000002,2.8460747885208315,1
