Fecha,ID_Insumo,Insumo,Categoria_Insumo,Stock_Actual,Consumo_Diario,Lead_Time,Punto_Reorden,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Demanda_Pronosticada,Ocupacion_Total,Ocupacion_Albergue,Pacientes_Alto_Riesgo,Consumo_7d,Consumo_14d,Consumo_Prev_7d,Consumo_Prev_14d,Consumo_Std_7d,Consumo_Lag_1,Consumo_Lag_7,Stock_Lag_1,Ratio_Stock,Cobertura_Dias,Mes,Dia_Semana,Alerta,Necesita_Reabastecimiento,Demanda_Fut_7d,Demanda_Fut_14d
2024-01-01,SKU_1,Metotrexato,Medicamento Oncologico,3102,81,8,1714,0,11.562000000000001,16.663999999999998,1,80.9,50,0.5,9,81.0,81.0,81.0,81.0,0.0,81.0,81.0,3102.0,1.8098016336056009,38.2962962962963,1,0,Normal,0,,
2024-01-02,SKU_1,Metotrexato,Medicamento Oncologico,3023,79,8,1714,0,11.562000000000001,16.663999999999998,0,89.9,53,0.53,10,80.0,80.0,160.0,160.0,1.4142135623730951,81.0,79.0,3102.0,1.763710618436406,37.7875,1,1,Normal,0,,
2024-01-03,SKU_1,Metotrexato,Medicamento Oncologico,2897,126,8,1714,0,11.562000000000001,16.663999999999998,1,129.19,53,0.53,10,95.33333333333333,95.33333333333333,286.0,286.0,26.57693235370353,79.0,126.0,3023.0,1.6901983663943991,30.38811188811189,1,2,Normal,0,,
2024-01-04,SKU_1,Metotrexato,Medicamento Oncologico,2792,105,8,1714,0,11.562000000000001,16.663999999999998,0,105.21000000000001,52,0.52,9,97.75,97.75,391.0,391.0,22.231734075415712,126.0,105.0,2897.0,1.6289381563593932,28.562659846547316,1,3,Normal,0,,
2024-01-05,SKU_1,Metotrexato,Medicamento Oncologico,2690,102,8,1714,0,11.562000000000001,16.663999999999998,0,97.95,49,0.49,9,98.6,98.6,493.0,493.0,19.346834366376328,105.0,102.0,2792.0,1.5694282380396734,27.281947261663287,1,4,Normal,0,,
2024-01-06,SKU_1,Metotrexato,Medicamento Oncologico,2578,112,8,1714,0,11.562000000000001,16.663999999999998,0,110.27000000000001,48,0.48,9,100.83333333333333,100.83333333333333,605.0,605.0,18.14846182646526,102.0,112.0,2690.0,1.5040840140023337,25.566942148760333,1,5,Normal,0,,
2024-01-07,SKU_1,Metotrexato,Medicamento Oncologico,2469,109,8,1714,0,11.562000000000001,16.663999999999998,1,114.32,49,0.49,9,102.0,102.0,714.0,714.0,16.85229954635272,112.0,109.0,2578.0,1.4404900816802801,24.205882352941178,1,6,Normal,0,734.0,
2024-01-08,SKU_1,Metotrexato,Medicamento Oncologico,2368,101,8,1714,0,11.562000000000001,16.663999999999998,1,104.47999999999999,51,0.51,9,104.85714285714286,101.875,734.0,815.0,14.182484166846697,109.0,81.0,2469.0,1.381563593932322,22.583106267029972,1,0,Normal,0,777.0,
2024-01-09,SKU_1,Metotrexato,Medicamento Oncologico,2246,122,8,1714,0,11.562000000000001,16.663999999999998,1,107.6,54,0.54,10,111.0,104.11111111111111,777.0,937.0,9.729679679550953,101.0,79.0,2368.0,1.310385064177363,20.234234234234233,1,1,Normal,0,783.0,
2024-01-10,SKU_1,Metotrexato,Medicamento Oncologico,2114,132,8,1714,0,11.562000000000001,16.663999999999998,1,131.32999999999998,54,0.54,10,111.85714285714286,106.9,783.0,1069.0,11.393398255547986,122.0,126.0,2246.0,1.2333722287047841,18.899106002554277,1,2,Preventivo,1,793.0,
2024-01-11,SKU_1,Metotrexato,Medicamento Oncologico,2635,115,8,1714,636,11.562000000000001,16.663999999999998,0,107.41,53,0.53,10,113.28571428571429,107.63636363636364,793.0,1184.0,11.01081719211137,132.0,105.0,2114.0,1.5373395565927654,23.259773013871374,1,3,Normal,0,796.0,
2024-01-12,SKU_1,Metotrexato,Medicamento Oncologico,3000,105,8,1714,470,11.562000000000001,16.663999999999998,1,107.44999999999999,50,0.5,9,113.71428571428571,107.41666666666667,796.0,1289.0,10.546947199929242,115.0,102.0,2635.0,1.750291715285881,26.381909547738694,1,4,Normal,0,809.0,
2024-01-13,SKU_1,Metotrexato,Medicamento Oncologico,2875,125,8,1714,0,11.562000000000001,16.663999999999998,1,119.58,49,0.49,9,115.57142857142857,108.76923076923077,809.0,1414.0,11.311603818750944,105.0,112.0,3000.0,1.677362893815636,24.876390605686034,1,5,Normal,0,813.0,
