Fecha,Stock_Total,Consumo_Total,Ocupacion_Total,Pacientes_Alto_Riesgo,Alertas_Criticas,Tasa_Alto_Riesgo_Global
2024-01-01,180329,5054,50,9,0,0.15
2024-01-02,175257,5072,53,10,0,0.15
2024-01-03,169979,5278,53,10,0,0.15
2024-01-04,164835,5144,52,9,0,0.15
2024-01-05,159627,5208,49,9,0,0.15
2024-01-06,154449,5178,48,9,0,0.15
2024-01-07,149408,5447,49,9,0,0.15
2024-01-08,145389,5322,51,9,0,0.15
2024-01-09,140470,5412,54,10,0,0.15
2024-01-10,138187,5464,54,10,0,0.15
2024-01-11,135204,5482,53,10,0,0.15
2024-01-12,131735,5685,50,9,0,0.15
2024-01-13,131185,5466,49,9,0,0.15
2024-01-14,130231,5541,50,9,0,0.15
2024-01-15,128164,5688,52,9,0,0.15
2024-01-16,125677,5656,55,10,0,0.15
2024-01-17,122421,5769,55,10,0,0.15
2024-01-18,119416,5798,54,10,0,0.15
2024-01-19,118728,5817,51,9,0,0.15
2024-01-20,117228,5880,50,9,0,0.15
2024-01-21,116188,6054,51,9,0,0.15
2024-01-22,113105,5972,53,10,0,0.15
2024-01-23,112301,5934,55,10,0,0.15
2024-01-24,111158,6054,56,10,0,0.15
2024-01-25,111248,6033,55,10,0,0.15
2024-01-26,112850,6104,52,9,0,0.15
2024-01-27,113360,6083,51,9,0,0.15
2024-01-28,115220,6284,51,9,0,0.15
2024-01-29,114464,6284,54,10,0,0.15
2024-01-30,114283,6295,56,10,0,0.15
2024-01-31,115796,6223,57,10,0,0.15
2024-02-01,116892,6346,56,10,0,0.15
2024-02-02,116823,6270,53,10,0,0.15
2024-02-03,118738,6434,52,9,0,0.15
2024-02-04,115815,6335,52,9,0,0.15
2024-02-05,114293,6376,55,10,0,0.15
2024-02-06,113900,6446,57,10,0,0.15
2024-02-07,111414,6631,58,10,0,0.15
2024-02-08,110220,6533,57,10,0,0.15
2024-02-09,111558,6688,54,10,0,0.15
2024-02-10,112063,6693,53,10,0,0.15
2024-02-11,113466,6639,53,10,0,0.15
2024-02-12,114522,6776,56,10,0,0.15
2024-02-13,116840,6750,58,10,0,0.15
2024-02-14,116100,6876,59,11,0,0.15
2024-02-15,119394,6741,58,10,0,0.15
2024-02-16,120211,6815,55,10,0,0.15
2024-02-17,119467,6855,54,10,0,0.15
2024-02-18,118588,6851,54,10,0,0.15
2024-02-19,115853,7078,57,10,0,0.15
2024-02-20,114147,6964,59,11,0,0.15
2024-02-21,113955,7083,60,11,0,0.15
2024-02-22,112204,7071,59,11,0,0.15
2024-02-23,110436,7076,56,10,0,0.15
2024-02-24,111717,7075,55,10,0,0.15
2024-02-25,112209,7074,55,10,0,0.15
2024-02-26,112858,6985,58,10,0,0.15
2024-02-27,116067,7225,60,11,0,0.15
2024-02-28,118069,7138,61,11,0,0.15
2024-02-29,116804,7364,59,11,0,0.15
2024-03-01,119241,7189,57,10,0,0.15
2024-03-02,116477,7288,56,10,0,0.15
2024-03-03,115426,7276,56,10,0,0.15
2024-03-04,115274,7431,59,11,0,0.15
2024-03-05,113715,7399,61,11,0,0.15
2024-03-06,112343,7438,62,11,0,0.15
2024-03-07,111633,7421,60,11,0,0.15
2024-03-08,111959,7369,58,10,0,0.15
2024-03-09,110921,7373,57,10,0,0.15
2024-03-10,110820,7425,57,10,0,0.15
2024-03-11,111312,7553,60,11,0,0.15
2024-03-12,115030,7432,62,11,0,0.15
2024-03-13,119927,7435,63,11,0,0.15
2024-03-14,118205,7484,61,11,0,0.15
2024-03-15,118553,7443,59,11,0,0.15
2024-03-16,117419,7512,57,10,0,0.15
2024-03-17,114205,7605,58,10,0,0.15
2024-03-18,112234,7431,61,11,0,0.15
2024-03-19,113589,7486,63,11,0,0.15
2024-03-20,115821,7414,64,12,0,0.15
2024-03-21,112881,7665,62,11,0,0.15
2024-03-22,112902,7488,60,11,0,0.15
2024-03-23,114778,7584,58,10,0,0.15
2024-03-24,113713,7524,59,11,0,0.15
2024-03-25,115157,7702,62,11,0,0.15
2024-03-26,113552,7579,64,12,0,0.15
2024-03-27,113764,7559,65,12,0,0.15
2024-03-28,116122,7578,63,11,0,0.15
2024-03-29,116376,7541,61,11,0,0.15
2024-03-30,117171,7498,59,11,0,0.15
2024-03-31,117260,7474,60,11,0,0.15
2024-04-01,114391,7674,63,11,0,0.15
2024-04-02,113797,7645,65,12,0,0.15
2024-04-03,111693,7560,66,12,0,0.15
2024-04-04,108963,7552,64,12,0,0.15
2024-04-05,111621,7488,62,11,0,0.15
2024-04-06,113296,7467,60,11,0,0.15
2024-04-07,113290,7645,61,11,0,0.15
2024-04-08,113346,7625,64,12,0,0.15
2024-04-09,112873,7500,66,12,0,0.15
2024-04-10,114361,7595,67,12,0,0.15
2024-04-11,116151,7419,65,12,1,0.15
2024-04-12,115740,7338,63,11,0,0.15
2024-04-13,113800,7544,61,11,0,0.15
2024-04-14,113015,7553,62,11,0,0.15
2024-04-15,109734,7545,64,12,0,0.15
2024-04-16,109232,7587,67,12,0,0.15
2024-04-17,115171,7348,68,12,0,0.15
2024-04-18,114432,7488,66,12,0,0.15
2024-04-19,116266,7357,64,12,0,0.15
2024-04-20,116773,7357,62,11,0,0.15
2024-04-21,116492,7360,63,11,0,0.15
2024-04-22,117989,7371,65,12,0,0.15
2024-04-23,116904,7541,68,12,0,0.15
2024-04-24,114505,7402,69,12,0,0.15
2024-04-25,111984,7341,67,12,0,0.15
2024-04-26,111607,7162,65,12,0,0.15
2024-04-27,111987,7424,63,11,0,0.15
2024-04-28,113562,7393,64,12,0,0.15
2024-04-29,112878,7084,66,12,0,0.15
2024-04-30,112279,7428,69,12,0,0.15
2024-05-01,112290,7194,70,13,0,0.15
2024-05-02,116160,7256,68,12,0,0.15
2024-05-03,116033,7089,66,12,0,0.15
2024-05-04,116260,7046,64,12,0,0.15
2024-05-05,114914,6967,65,12,0,0.15
2024-05-06,113161,7244,67,12,0,0.15
2024-05-07,112973,7013,70,13,0,0.15
2024-05-08,114343,6965,71,13,0,0.15
2024-05-09,113620,7116,69,12,0,0.15
2024-05-10,114376,7067,67,12,0,0.15
2024-05-11,115422,7152,65,12,0,0.15
2024-05-12,114275,6906,66,12,0,0.15
2024-05-13,113341,6796,68,12,0,0.15
2024-05-14,112939,6890,71,13,0,0.15
2024-05-15,112122,6864,72,13,0,0.15
2024-05-16,114663,6754,70,13,0,0.15
2024-05-17,116373,6893,68,12,0,0.15
2024-05-18,117530,6835,66,12,0,0.15
2024-05-19,116706,6726,67,12,0,0.15
2024-05-20,116911,6726,69,12,0,0.15
2024-05-21,117148,6543,72,13,0,0.15
2024-05-22,115473,6532,72,13,0,0.15
2024-05-23,114040,6622,71,13,0,0.15
2024-05-24,115864,6498,69,12,0,0.15
2024-05-25,114764,6478,67,12,0,0.15
2024-05-26,115496,6502,68,12,0,0.15
2024-05-27,115197,6598,70,13,0,0.15
2024-05-28,115159,6543,73,13,0,0.15
2024-05-29,114262,6380,73,13,0,0.15
2024-05-30,113718,6238,72,13,0,0.15
2024-05-31,112346,6408,69,12,0,0.15
2024-06-01,112106,6251,68,12,0,0.15
2024-06-02,114048,6224,69,12,0,0.15
2024-06-03,114560,6320,71,13,0,0.15
2024-06-04,115616,6165,74,13,0,0.15
2024-06-05,115040,6162,74,13,0,0.15
2024-06-06,113943,6173,73,13,0,0.15
2024-06-07,113437,6031,70,13,0,0.15
2024-06-08,114308,6022,69,12,0,0.15
2024-06-09,112626,6060,70,13,0,0.15
2024-06-10,114372,5972,72,13,0,0.15
2024-06-11,112978,5902,75,14,0,0.15
2024-06-12,114708,5796,75,14,0,0.15
2024-06-13,115921,5917,74,13,0,0.15
2024-06-14,115843,5732,71,13,0,0.15
2024-06-15,114561,5471,70,13,0,0.15
2024-06-16,113838,5769,71,13,0,0.15
2024-06-17,113748,5632,73,13,0,0.15
2024-06-18,113448,5555,76,14,0,0.15
2024-06-19,113250,5468,76,14,0,0.15
2024-06-20,114752,5466,75,14,0,0.15
2024-06-21,113297,5483,72,13,0,0.15
2024-06-22,117496,5384,71,13,0,0.15
2024-06-23,117748,5305,72,13,0,0.15
2024-06-24,118662,5123,74,13,0,0.15
2024-06-25,119907,5116,77,14,0,0.15
2024-06-26,118109,5165,77,14,0,0.15
2024-06-27,116030,5123,76,14,0,0.15
2024-06-28,115869,5140,73,13,0,0.15
2024-06-29,116079,5030,72,13,0,0.15
2024-06-30,117373,5056,73,13,0,0.15
2024-07-01,118383,5153,75,14,0,0.15
