Stock_Actual,Consumo_Diario,Lead_Time,Ocupacion_Albergue,Pacientes_Alto_Riesgo,Ocupacion_Total,Punto_Reorden,Ratio_Stock,Necesita_Reabastecimiento
396,20.51,10,0.0,0,1,205.1,1.9307654802535343,2
528,19.18,12,0.0,0,1,230.16,2.2940563086548487,1
370,23.58,11,0.0,0,1,259.38,1.4264785257151669,2
404,10.74,14,0.0,0,1,150.36,2.686884809789837,1
607,21.75,13,3.87,0,1,282.75,2.146772767462423,2
290,18.32,4,4.78,0,1,73.28,3.9574235807860254,1
456,19.45,10,0.0,0,1,194.5,2.3444730077120823,1
727,15.68,7,2.06,0,1,109.76,6.623542274052479,0
447,29.75,4,0.0,0,1,119.0,3.7563025210084033,1
400,13.47,4,0.88,0,1,53.88,7.423904974016332,0
286,17.01,7,1.3,0,1,119.07,2.401948433694465,1
544,16.7,10,0.0,0,1,167.0,3.25748502994012,1
395,16.64,4,2.03,0,1,66.56,5.9344951923076925,0
450,23.24,9,2.02,0,1,209.16,2.1514629948364887,2
468,22.16,4,1.35,0,1,88.64,5.279783393501805,1
566,20.96,5,0.14,0,1,104.8,5.400763358778625,1
525,22.23,12,1.84,0,1,266.76,1.9680611785874944,2
403,14.12,14,0.66,0,1,197.68,2.0386483205180093,2
354,9.23,8,0.0,0,1,73.84,4.794149512459372,1
595,18.67,7,2.6,0,1,130.69,4.552758435993573,1
648,22.27,12,0.0,0,1,267.24,2.42478670857656,1
503,27.13,6,2.78,0,1,162.78,3.09006020395626,1
328,19.84,5,0.24,0,1,99.2,3.306451612903225,1
439,18.76,12,0.95,0,1,225.12,1.9500710732054016,2
332,26.76,2,2.2,0,1,53.52,6.203288490284006,0
395,20.05,5,4.93,0,1,100.25,3.9401496259351614,1
358,16.61,4,0.0,0,1,66.44,5.388320288982541,1
401,22.7,3,2.98,0,1,68.1,5.888399412628488,0
508,27.17,7,2.34,0,1,190.19,2.671013197328987,1
296,28.44,10,0.0,0,1,284.40000000000003,1.040787623066104,2
394,16.63,2,3.88,0,1,33.26,11.84606133493686,0
353,21.8,4,3.71,0,1,87.2,4.048165137614679,1
334,28.2,13,0.0,0,1,366.6,0.911074740861975,2
724,26.53,12,1.17,0,1,318.36,2.274155044603593,1
579,25.45,13,0.0,0,1,330.85,1.7500377814719663,2
703,24.51,10,0.0,0,1,245.1,2.8682170542635657,1
445,25.23,6,0.16,0,1,151.38,2.939622142951513,1
345,27.06,7,0.0,0,1,189.42,1.821349382324992,2
588,12.12,13,1.87,0,1,157.56,3.731911652703732,1
514,19.19,7,0.0,0,1,134.33,3.826397677361721,1
551,22.24,7,4.63,0,1,155.67999999999998,3.5393114080164443,1
482,28.34,6,1.84,0,1,170.04,2.834627146553752,1
494,18.92,11,3.21,0,1,208.12,2.373630597732077,1
353,8.33,7,0.0,0,1,58.31,6.05385011147316,0
437,23.14,13,0.0,0,1,300.82,1.4526959643640716,2
457,16.59,5,3.99,0,1,82.95,5.509342977697408,1
680,16.29,3,3.67,0,1,48.87,13.914466953140987,0
404,27.69,4,2.96,0,1,110.76,3.64752618273745,1
564,13.48,7,0.0,0,1,94.36,5.977108944467995,0
268,22.07,4,1.3,0,1,88.28,3.035795197100136,1
762,26.25,2,0.01,0,1,52.5,14.514285714285714,0
471,27.44,13,0.0,0,1,356.72,1.3203633101592285,2
658,19.7,9,1.33,0,1,177.29999999999998,3.7112239142696,1
373,17.64,11,1.14,0,1,194.04,1.922284065141208,2
307,22.65,10,0.0,0,1,226.5,1.3554083885209711,2
